step,added_feature,pr_auc_val,delta_pr_auc,selected_features
31,std_delta_last_k,0.017384315351145332,0.003776903093919858,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k""]"
32,log_1_plus_transactions_seen,0.013359455157069967,-0.004024860194075365,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen""]"
33,web_rdp_connection,0.013493521138217114,0.0001340659811471471,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection""]"
34,is_new_browser_language,0.015328635425235562,0.0018351142870184477,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection"", ""is_new_browser_language""]"
35,is_new_device,0.013820226206932998,-0.001508409218302564,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection"", ""is_new_browser_language"", ""is_new_device""]"
36,is_night_transaction,0.013419983989933788,-0.0004002422169992106,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection"", ""is_new_browser_language"", ""is_new_device"", ""is_night_transaction""]"
37,is_amount_high,0.015770716631843252,0.0023507326419094643,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection"", ""is_new_browser_language"", ""is_new_device"", ""is_night_transaction"", ""is_amount_high""]"
38,transactions_last_24h,0.015314820026903405,-0.00045589660493984725,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection"", ""is_new_browser_language"", ""is_new_device"", ""is_night_transaction"", ""is_amount_high"", ""transactions_last_24h""]"
39,day_of_week,0.0150299502731219,-0.0002848697537815043,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection"", ""is_new_browser_language"", ""is_new_device"", ""is_night_transaction"", ""is_amount_high"", ""transactions_last_24h"", ""day_of_week""]"
40,phone_voip_call_state,0.015514489035962194,0.00048453876284029404,"[""sum_amount_last_1h"", ""transactions_in_session"", ""max_amount_last_24h"", ""amount_zscore"", ""delta_3"", ""operation_amt"", ""is_weekend"", ""is_new_mcc"", ""std_time_deltas"", ""transactions_last_10m"", ""event_descr"", ""amount_ratio_prev"", ""sum_amount_last_24h"", ""amount_zscore_x_is_new_mcc"", ""acceleration_delta_1_over_2"", ""amount_zscore_x_is_new_device"", ""trend_mean_last_3_to_10"", ""is_compromised_device"", ""is_new_device_x_is_new_timezone"", ""session_mean_amount"", ""cv_delta_last_k"", ""timezone_missing"", ""amount_percentile_rank"", ""time_since_last_device_change"", ""transactions_last_1h"", ""delta_1"", ""time_since_prev_transaction"", ""is_new_channel"", ""session_duration"", ""is_mcc_switch"", ""std_delta_last_k"", ""log_1_plus_transactions_seen"", ""web_rdp_connection"", ""is_new_browser_language"", ""is_new_device"", ""is_night_transaction"", ""is_amount_high"", ""transactions_last_24h"", ""day_of_week"", ""phone_voip_call_state""]"
