feature,importance_drop_pr_auc,importance_drop_std,model,baseline_pr_auc
is_night_transaction,0.0005156933451212154,0.0005311068984096572,xgboost,0.1312539251961959
is_weekend,0.00047731313106704756,0.00021094356930555745,xgboost,0.1312539251961959
time_since_last_mcc_change,0.0004663680899557765,0.0007339730151368595,xgboost,0.1312539251961959
is_device_switch,0.0003308599298068593,0.00023787146263248897,xgboost,0.1312539251961959
is_new_device,0.0003218170771358275,3.0393818880064772e-05,xgboost,0.1312539251961959
amount_percentile_rank,0.000300193731650239,0.001168726488337127,xgboost,0.1312539251961959
timezone_missing,0.00026373864134297543,3.8651976690159325e-05,xgboost,0.1312539251961959
unique_channel_key_count_suffix,0.00019882572008651512,0.0006580141929112749,xgboost,0.1312539251961959
amount_decrease_streak_suffix,0.00018254751751066168,0.0002533450780624949,xgboost,0.1312539251961959
amount_increase_streak_suffix,0.0001475102223254976,0.00012681004269264338,xgboost,0.1312539251961959
is_new_channel,6.808518738406489e-05,8.238787447923735e-05,xgboost,0.1312539251961959
accept_lang_browser_lang_mismatch,2.392918378016362e-05,0.000580455087872817,xgboost,0.1312539251961959
is_new_session_id,7.991221124176161e-06,0.0003117981285535314,xgboost,0.1312539251961959
night_transaction_share_last_24h,1.9813591128070573e-06,0.0010034837971998022,xgboost,0.1312539251961959
battery_very_low_and_night,-4.329295671956501e-09,5.947300933166235e-09,xgboost,0.1312539251961959
is_timezone_change,-4.129969463251282e-07,3.0761268170973624e-07,xgboost,0.1312539251961959
battery_very_low_flag,-7.333995158009809e-07,7.135422381275348e-08,xgboost,0.1312539251961959
is_new_device_tz_pair,-2.0589237469448295e-06,8.083909007782476e-06,xgboost,0.1312539251961959
is_compromised_device,-4.832539919796819e-06,1.1096071488836882e-05,xgboost,0.1312539251961959
is_new_browser_language,-6.009770392922942e-06,1.1589902799717073e-05,xgboost,0.1312539251961959
is_new_timezone,-1.4909093957826692e-05,8.790084741216713e-07,xgboost,0.1312539251961959
web_rdp_connection,-3.63584874918832e-05,0.00019322253665168707,xgboost,0.1312539251961959
seconds_since_last_compromised_tx,-4.6977153703009475e-05,4.8642019742271944e-05,xgboost,0.1312539251961959
compromised_history_count_suffix,-4.8766978868741706e-05,0.00022124883523524767,xgboost,0.1312539251961959
amount_change_sign,-5.2471836400735936e-05,0.00016845053265395147,xgboost,0.1312539251961959
unique_browser_language_count_suffix,-6.906394363956903e-05,0.0004153034249194041,xgboost,0.1312539251961959
transactions_in_session,-7.564816558318644e-05,0.00015700727453024234,xgboost,0.1312539251961959
transactions_last_5m,-0.00021398956648511214,0.00035943027642831995,xgboost,0.1312539251961959
is_amount_high,-0.00023357661067520684,0.0001308991285162725,xgboost,0.1312539251961959
delta_3,-0.0005240745691750592,0.0004247755591308299,xgboost,0.1312539251961959
sum_amount_last_10m,-0.0006306130607617088,0.0012648195477335548,xgboost,0.1312539251961959
session_duration,-0.0007575494435753782,0.0005043679897372361,xgboost,0.1312539251961959
transactions_last_10m,-0.0010614255769431369,0.00014686745670014622,xgboost,0.1312539251961959
tr_amount,-0.0011338297879188441,0.0002643287655588731,xgboost,0.1312539251961959
mcc_freq_last_1h,-0.001464453589487802,0.00020209872062934713,xgboost,0.1312539251961959
